id,vehicleType,startNodeId,endNodeId,startX,startY,endX,endY,length,width,height,weightKg,maxSpeedKmh,accelMps2,driverAge,responseTimeSec,homeAmenityId,homeDepotName
1832,car,9168959370,trim_9220,1423.9,-303.01,1576.45,424.01,4.72,1.87,1.53,1197,114.9,2.45,47,0.868,,
1833,truck,9843418615,trim_2803,1929.94,1248.28,-2412.34,1228.43,11.98,2.51,3.63,5348,60.5,1.13,55,0.73,,
1834,car,trim_6340,trim_787,1917.84,919.14,-840.51,-223.62,5.09,1.61,1.4,1242,103.9,2.93,17,0.783,,
1835,motorcycle,trim_3389,trim_6767,-235.33,507.17,-552.14,271.82,1.89,0.9,1.26,139,81.4,3.7,45,0.879,,
1836,motorcycle,trim_7084,9857750374,-2364.56,579.88,-98.34,-1062.27,2.22,0.8,1.14,228,90.4,3.94,16,0.86,,
1837,car,9168881201,trim_2547,2236.73,667.54,1731.69,645.75,4.46,1.72,1.65,1099,91.2,2.33,16,0.875,,
1838,motorcycle,trim_1136,trim_4222,-1154.49,469.52,2405.37,1408.73,2.13,0.89,1.08,141,86.8,3.1,75,0.899,,
1839,car,6202105984,2960361511,1588.99,-651.12,-687.54,-1394.45,4.76,1.84,1.6,1676,108.6,3.03,58,0.697,,
1840,car,trim_5467,3887993321,1895.69,-91.27,1483.99,1122.66,4.8,1.64,1.39,1591,107.3,2.47,37,0.75,,
1841,police,9858066412,2970305441,-27.73,-857.12,391.56,1968,4.94,1.96,1.48,1860,130.3,4.09,60,0.478,a_1208663940_c,Police Station
1842,car,trim_9023,trim_7217,1076.13,290.67,-1825.76,-195.73,4.4,1.68,1.41,1643,100.5,2.49,26,0.715,,
1843,car,2962838273,4224981118,-72.05,-1507.61,-2330.15,1331.51,5.07,1.88,1.6,1563,107.5,2.52,26,0.769,,
1844,ambulance,9859618307,trim_2158,-924.07,-526.04,-71.45,1445.56,5.84,2.11,2.74,2940,113.6,2.63,69,0.524,a_4562908189,Hospital (amenity a_4562908189)
1845,motorcycle,trim_6789,9857647494,317.29,751.91,-1094.78,-986.18,2.22,0.75,1.12,176,91.6,4.5,33,0.861,,
1846,truck,trim_8184,11499317444,-1892.78,-1399,-287.8,1063.06,10.98,2.41,3.05,12941,77.4,0.8,70,0.764,,
1847,car,trim_5419,trim_8379,1911.1231799493944,-957.4368200506055,-681.92,-548.06,4.83,1.61,1.43,1107,119.3,2.86,66,0.7,,
1848,car,trim_7186,12098320585,-2088.38,98.8,-1639.09,1347.44,5.03,1.75,1.42,1543,102.9,2.22,46,0.881,,
1849,car,12141479864,12127352319,-2152.66,872.12,-941.64,1218.98,5.04,1.75,1.5,1053,100.1,2.91,34,0.879,,
1850,car,trim_3568,9852391722,1075.54,-990.06,-2181.49,-937.42,4.77,1.75,1.42,1723,118.4,3.15,43,0.72,,
1851,firetruck,trim_9675,5170798247,-1493.9799484953007,-1226.069541895515,153.49,-125.9,10.57,2.51,3.22,19658,86.2,1.88,27,0.614,a_11198925348,Police station (amenity a_11198925348)
1852,car,4224981097,trim_1879,-2652.91,1134.1,-388.57,-1074.46,4.06,1.73,1.59,1361,101.0,3.06,34,0.788,,
1853,car,trim_5160,3887993326,1744.56,-307.24,1694.49,1144.66,4.26,1.69,1.39,1326,101.1,2.58,39,0.802,,
1854,car,trim_4512,trim_5161,1792.14,753.47,1580.53,-446.99,4.79,1.7,1.36,1257,97.8,3.1,41,0.812,,
1855,car,trim_3486,trim_2435,466.56,-649.08,-2206.84,1291.04,4.97,1.73,1.62,1076,91.1,2.85,36,0.816,,
1856,car,11080052823,trim_628,-2254.14,-76.14,-2126.77,626.22,4.53,1.84,1.38,1014,94.4,2.78,75,0.901,,
1857,car,trim_9488,trim_6484,-552.46,-881.56,1674.9,-81.26,5.06,1.88,1.62,1192,94.9,2.31,70,0.735,,
1858,car,trim_710,trim_9354,-1346.12,802.89,863.75,813.25,4.82,1.86,1.5,1738,94.7,2.3,47,0.749,,
1859,car,trim_6987,trim_2030,2403.38,863.6,1585.05,-141.13,4.35,1.68,1.49,1700,93.4,2.23,33,0.791,,
1860,motorcycle,trim_3857,trim_2626,-774.98,-1171.52,-1170.17,573.3,2.04,0.76,1.15,238,102.2,4.26,26,0.743,,
1861,car,trim_3431,trim_4022,-293.57,476.05,1219.01,873.91,4.28,1.71,1.35,1889,90.2,2.98,64,0.836,,
1862,car,trim_8957,9857826571,-2287.76,-217.63,203.1,-359.17,4.62,1.79,1.36,1192,118.2,2.84,23,0.693,,
1863,car,trim_6723,trim_6836,-79.58,1153.33,-2266.78,274.55,4.44,1.87,1.36,1584,91.4,2.21,42,0.718,,
1864,car,12129753492,trim_5770,-1307,714.37,-1032.36,-1593.66,4.38,1.82,1.51,1651,97.2,2.62,80,0.824,,
1865,car,trim_6987,12129299583,2403.38,863.6,2047.76,257.53,4.27,1.79,1.39,1155,91.5,2.95,28,0.711,,
1866,car,12918589247,trim_1228,-756.23,606.75,-1419.72,-256.16,4.07,1.79,1.4,1003,97.1,2.86,37,0.74,,
1867,car,trim_2268,trim_8379,-192.85,-454.97,-681.92,-548.06,4.03,1.79,1.41,1658,116.4,2.87,31,0.831,,
1868,car,2960312549,trim_5749,-1131.58,49.14,-1972.54,-1218.7,4.24,1.89,1.42,1509,110.0,2.29,77,1.018,,
1869,car,2970305378,trim_777,-1048.92,1042.48,-1145.06,-502.46,4.66,1.76,1.5,1636,109.4,2.63,39,0.662,,
1870,car,trim_4222,trim_826,2405.37,1408.73,-1301.1,165.02,4.14,1.69,1.57,1702,119.0,3.11,74,0.769,,
1871,car,trim_2243,trim_3219,38.26,-372.55,224.42,159.13,4.62,1.9,1.36,1589,106.0,2.81,29,0.695,,
1872,car,12129753488,trim_7332,-1318.87,694.42,990.22,329.98,4.58,1.63,1.38,1703,112.6,2.82,54,0.74,,
1873,motorcycle,trim_995,2960361439,-563.31,-210.18,-2484.59,-243.37,2.1,0.69,1.19,161,104.7,3.9,74,0.847,,
1874,car,trim_9205,trim_254,1505.15,635.71,-114.76,-401.05,4.48,1.86,1.59,1619,110.3,2.7,34,0.862,,
1875,car,trim_2247,9852405432,216.67,-405.46,-2218.54,-151.62,4.39,1.64,1.57,1688,101.5,2.98,44,0.885,,
1876,car,2960312545,trim_991,-1222.05,-154.3,-559.78,-210.77,4.54,1.76,1.41,1761,105.7,2.95,21,0.691,,
1877,car,trim_6287,trim_3474,-257.62,-983.74,-461.92,77.12,4.76,1.92,1.58,1260,101.4,2.27,54,0.847,,
1878,car,trim_6458,2960361538,1893.94,245.31,-1137.31,-585.59,4.19,1.75,1.57,1001,118.5,2.31,74,0.844,,
1879,car,2970305240,trim_8611,1536.8208602358156,-629.9362949707976,-637.78,-1343.89,4.33,1.82,1.38,1167,105.3,2.31,66,0.908,,
1880,car,9843336861,trim_7023,1174.86,1618.05,-2714.9505523370203,94.70983697735694,4.23,1.92,1.43,1024,97.5,2.51,65,0.798,,
1881,car,trim_7067,trim_6359,-2106.11,653.77,2291.91,1317.29,4.24,1.79,1.58,1208,90.8,2.74,78,0.951,,
1882,car,9857465300,trim_3495,-780.54,140.16,-48.21,-83.32,4.44,1.68,1.6,1689,107.3,2.38,34,0.845,,
1883,motorcycle,trim_193,9852168749,630.37,243.76,-2068.99,376.1,1.86,0.81,1.22,119,89.9,3.33,24,0.661,,
1884,car,trim_3116,trim_2081,-94.88,104.91,1124.99,445.83,4.41,1.93,1.39,1085,106.3,2.37,36,0.72,,
1885,motorcycle,trim_6577,trim_374,819.78,-1335.72,-2231.68,204.37,1.9,0.67,1.09,214,103.2,4.42,22,0.862,,
1886,car,12141491925,trim_2422,-1951.77,827.16,-472.98,1488.48,4.74,1.78,1.57,1753,105.6,2.45,77,0.994,,
1887,car,trim_1186,trim_712,-1754.51,-798.51,-1325.69,828.82,4.49,1.81,1.44,1837,94.0,2.69,30,0.72,,
1888,car,9857332626,6928966679,2467.88,-563.37,-1671.21,-1446.64,4.87,1.95,1.46,1664,106.6,2.73,29,0.899,,
1889,firetruck,11133588049,457278256,-1783.42,-995.27,617.77,-596.04,10.92,2.49,3.2,17055,93.7,2.37,56,0.552,a_11198955917,Police station (amenity a_11198955917)
1890,motorcycle,12901340302,trim_4424,170.29,-280.38,980.43,-105.1,2.3,0.7,1.08,199,109.4,3.55,61,0.762,,
1891,car,trim_9618,11775194492,-84.98,-653.75,194.11,-1639.77,4.95,1.75,1.48,1275,102.3,2.69,80,0.818,,
1892,car,trim_3844,trim_2660,-994.97,-1094.99,1800.4,-1750.98,4.98,1.78,1.56,1531,107.4,2.79,66,0.793,,
1893,car,trim_3353,trim_1226,-241.61,-584.91,-1437.99,-264.95,4.05,1.87,1.54,1012,92.3,3.19,60,0.697,,
1894,car,9168883582,9859639853,-685.47,-1269.8,-1315.17,-454.28,4.19,1.74,1.59,1622,102.6,2.32,46,0.669,,
1895,car,trim_741,9854981072,-1351.1,977.6,2061.84,-553.91,4.58,1.69,1.36,1763,99.3,2.8,23,0.711,,
1896,car,9852411622,trim_9006,-2287,-707.12,-661.103880675192,-486.4262908425871,4.66,1.86,1.46,1699,105.1,2.54,69,0.916,,
1897,car,trim_5480,11909810181,2399.51,253.68,2395.03,-861.86,4.26,1.81,1.53,1683,93.7,2.68,51,0.9,,
1898,car,trim_3088,trim_3013,-370.32,139.23,-1727.77,1237.93,4.7,1.65,1.45,1865,100.3,2.64,50,0.667,,
1899,car,trim_2970,9852348494,-2192.84,1191.58,-1445.74,25.44,4.81,1.71,1.61,1060,112.2,3.18,48,0.858,,
1900,car,11909810180,trim_1421,2385.89,-861.68,-2562.42,-87.82,4.99,1.92,1.38,1633,95.5,2.39,20,0.71,,
1901,truck,2960361497,trim_3811,-1270.32,-1044.31,-1022.94,-1228.74,7.4,2.48,2.97,6074,64.2,1.16,48,0.73,,
1902,car,9859566834,trim_8752,816.58,-153.08,289.14,1516.73,4.43,1.87,1.53,1008,113.2,2.67,67,0.8,,
1903,car,4227798520,trim_4560,1228.08,1743.37,-934.47,1445.6,4.85,1.82,1.55,1386,109.8,2.56,75,0.784,,
1904,car,trim_3596,9168854794,-272.98,324.91,2040.13,1272.56,4.04,1.94,1.53,1780,111.1,2.66,40,0.732,,
1905,car,trim_1835,4225324642,-142.05,-919.14,876.55,-12,4.46,1.78,1.37,1186,118.9,2.67,70,0.813,,
1906,car,trim_2765,trim_8262,-1882.63,730.18,-594.71,-1366.19,4.15,1.77,1.42,1264,90.3,3.12,55,0.683,,
1907,motorcycle,trim_6271,12098282520,-552.3,-759.31,-1122.03,1158.8,1.89,0.86,1.14,213,95.8,4.19,45,0.853,,
1908,car,trim_8447,trim_5753,1748.56,785.03,-1965.55,-1049.78,4.74,1.69,1.57,1390,99.3,2.21,28,0.812,,
1909,car,trim_2517,11499043131,441.63,1251.04,-723.38,1063.4,4.3,1.7,1.64,1785,98.1,2.87,19,0.749,,
1910,car,9857987899,trim_3137,-84.54,352.76,403.97,-411.24,4.89,1.86,1.35,1541,103.2,2.55,27,0.68,,
1911,car,4227798504,trim_461,1247.46,1478.67,-2122.74,-52.08,4.47,1.62,1.45,1891,90.2,3.0,52,0.676,,
1912,car,9852160667,trim_9683,-2323.7,451.79,-1621.33,332.42,4.21,1.79,1.56,1808,104.0,2.52,33,0.725,,
1913,car,trim_7952,trim_3935,-603.73,1163.78,827.5,52.28,4.75,1.82,1.5,1742,101.6,2.28,25,0.657,,
1914,car,trim_3296,trim_5617,-246.98,579.5,-102.65,873.72,4.42,1.82,1.4,1520,119.7,2.24,38,0.71,,
1915,bus,trim_1574,trim_5404,-1060.9,-640.88,707.57,1472.8,8.14,2.52,3.56,10541,64.3,0.9,60,0.708,,
1916,car,trim_1459,trim_7765,-1451.06,-838.72,-990.33,-521.27,4.1,1.69,1.6,1563,106.3,2.95,18,0.949,,
1917,car,5170637574,trim_7633,1571.81,-131.89,237.9,-181.81,4.86,1.71,1.43,1568,94.5,2.2,70,0.868,,
1918,car,trim_7187,7222770487,-2085.01,70.59,185.58,-1658.7,4.21,1.74,1.41,1270,105.5,2.8,46,0.714,,
1919,car,trim_659,2960312501,-1774.92,534.76,-1140.34,-214.57,4.11,1.93,1.51,1393,108.4,2.93,80,0.909,,
1920,car,trim_6408,trim_974,2389.85,613.2,-721.5,-165.06,4.89,1.66,1.42,1506,101.5,2.82,33,0.789,,
1921,bus,trim_1314,trim_2295,-1156.4,466.62,2473.81,1144.25,8.35,2.44,3.49,8130,81.5,0.9,63,0.802,,
1922,motorcycle,trim_3892,11237649540,922.91,172.96,-1941.93,636.01,2.22,0.87,1.14,174,107.1,4.31,70,0.771,,
1923,car,n_9801,trim_4068,-569.7522334301,591.5943387065037,-402.55,1122.01,4.66,1.89,1.49,1295,97.8,2.32,41,0.651,,
1924,car,trim_3825,4224980881,-176.12,-699.41,-2187.65,553.06,4.88,1.72,1.39,1458,103.7,3.13,52,0.835,,
1925,car,9168850568,trim_2625,-1494.09,1043.49,-1087.49,645.92,4.44,1.73,1.64,1387,107.7,2.81,49,0.764,,
1926,car,trim_5908,trim_846,-1721.72,-1467.27,-1404.45,14.22,4.12,1.85,1.61,1020,115.9,3.06,22,0.671,,
1927,motorcycle,trim_2108,trim_9054,261.08,-165.34,-1742.72,1252.64,2.02,0.67,1.06,224,104.0,3.39,73,0.756,,
1928,car,11176504237,12141491925,-830.28,-1167.21,-1951.77,827.16,4.91,1.75,1.57,1000,100.2,2.74,80,0.906,,
1929,truck,trim_2291,9857647480,2233.89,1099.62,-733.04,-1082.75,6.58,2.45,2.88,11193,74.5,0.81,52,0.824,,
1930,truck,trim_1083,trim_4733,-784.07,-428.97,-1500.41,1100.62,11.33,2.6,3.25,8604,77.7,1.3,51,0.731,,
1931,car,trim_6884,trim_2635,1855.8833091416843,1017.0442281262959,-1156.46,682.56,4.37,1.74,1.61,1519,118.5,2.68,55,0.661,,
1932,police,trim_9675,5170655695,-1493.9799484953007,-1226.069541895515,2160.92,-38.61,4.86,1.98,1.63,2077,123.0,3.57,37,0.675,a_11198925348,Police station (amenity a_11198925348)
1933,truck,trim_5594,trim_4765,2071.2,338.57,-1311.84,1092.76,6.75,2.59,3.6,8635,79.6,1.11,46,0.785,,
1934,bus,trim_8059,trim_3374,2389.7,-1044.82,-57.81,445.16,10.0,2.49,3.1,10258,80.8,1.11,25,0.807,,
1935,car,9857750376,trim_8589,-187.44,-1019.9,-169.61,-1500.37,4.27,1.83,1.52,1683,102.2,2.76,22,0.818,,
1936,car,trim_6751,trim_4073,-256.48,536.99,-414.2,1193.32,4.56,1.68,1.57,1076,113.1,3.05,34,0.76,,
1937,motorcycle,trim_3785,trim_871,-1318.09,-1175.24,-1288.78,-238.34,2.1,0.67,1.33,207,80.0,3.44,80,1.015,,
1938,motorcycle,trim_6301,11909810190,-159.8,-1224.27,2383.11,-884.22,2.25,0.77,1.17,166,94.2,4.34,65,0.732,,
1939,car,trim_1775,trim_4704,81.99,-1287.94,1051.62,271.73,5.04,1.86,1.41,1274,98.4,2.83,49,0.751,,
1940,car,9168946317,9844249437,1822.68,-195.4,-2196.86,829.3,4.42,1.86,1.42,1094,92.2,3.16,41,0.706,,
1941,truck,4227871617,trim_5769,-864.64,2520.25,-1028.61,-1596.97,8.53,2.44,3.59,14924,69.0,0.83,31,0.871,,
1942,car,11491678307,4225172340,115.28,958.45,-384.09,161.39,4.95,1.76,1.62,1156,102.4,2.34,47,0.886,,
1943,car,trim_9650,trim_1468,-1340.51,1271.8,-1413.06,-873.56,4.34,1.61,1.53,1819,117.4,2.81,79,0.856,,
1944,car,trim_7155,trim_5195,-2297.67,266.45,1611,-476.87,4.94,1.81,1.56,1585,118.2,3.04,58,0.685,,
1945,car,2960312465,trim_5009,-1220.64,90.47,2395.29,-757.55,4.21,1.86,1.59,1790,116.1,3.16,46,0.769,,
1946,car,trim_590,2960361436,-1899.17,857.88,-2474.73,-375.5,4.61,1.7,1.43,1135,118.7,2.68,75,0.839,,
1947,car,trim_8748,4225077403,-280.77,1467.42,-2198.76,934.26,4.49,1.67,1.38,1285,104.1,2.41,42,0.665,,
1948,car,trim_1658,trim_2151,-2002.38,-49.05,1888.98,852.84,4.87,1.83,1.36,1766,112.2,3.0,63,0.75,,
1949,car,9168966465,trim_7181,1368.18,1823.68,-2022.84,270.68,4.17,1.86,1.57,1309,105.8,3.16,58,0.814,,
1950,car,9844004270,trim_1087,-2437.71,537.25,-904.65,-267.88,4.27,1.93,1.62,1778,93.9,2.61,20,0.838,,
1951,car,6925898198,trim_3771,-1889.28,-1551.92,-244.97,-667.65,4.01,1.94,1.43,1026,120.0,2.94,24,0.665,,
1952,car,9859493785,trim_8301,492.3,-477.07,2300.75,319.12,4.34,1.95,1.55,1742,92.3,2.8,80,0.942,,
1953,car,trim_5004,trim_2367,1200.56,1471.44,-1588.17,-1135.69,4.92,1.95,1.38,1092,116.6,2.7,73,0.927,,
1954,car,trim_3263,9168883564,-128.44,330.09,-1547.32,-1320.32,4.47,1.71,1.44,1404,117.7,2.71,68,0.808,,
1955,car,trim_8561,trim_3888,-1976.53,-1477.73,906.53,209.04,4.31,1.76,1.53,1360,109.5,2.98,65,0.787,,
1956,car,trim_1688,9852305620,-104.39,-1269.85,349.81,978.64,4.68,1.86,1.56,1332,100.3,2.8,63,0.654,,
1957,car,12131201623,trim_4789,-834.37,213.88,-1463.31,1196,4.07,1.85,1.56,1622,90.1,2.38,39,0.774,,
1958,car,11423219229,trim_5019,-723.59,1874.13,2219.73,-669.11,4.02,1.7,1.49,1218,106.1,2.37,35,0.667,,
1959,car,trim_6711,2960312472,1323.76,678.56,-1245.23,35.96,4.07,1.91,1.51,1338,99.2,2.51,47,0.703,,
1960,car,2960326576,12139756899,-1623.37,145.55,1925.06,-1438.19,4.1,1.76,1.57,1306,97.8,2.5,54,0.857,,
1961,car,9855693610,trim_8804,986.41,43.11,671.69,684.83,4.36,1.69,1.38,1837,112.4,2.87,44,0.846,,
1962,car,9843135289,trim_2624,-2008.15,891.44,-1095.39,692.4,4.25,1.73,1.37,1824,110.5,2.95,68,0.783,,
1963,car,trim_8532,trim_2789,-2461.58,223.98,-1949.96,689.02,4.33,1.67,1.64,1827,92.3,2.87,17,0.805,,
1964,motorcycle,9852338733,9852938590,-2009.39,-24.37,-1509.98,-15.87,1.9,0.88,1.39,226,96.0,3.12,42,0.888,,
1965,car,trim_1403,trim_4272,-2105.24,-550.92,2089.08,-242.84,4.59,1.82,1.56,1440,108.1,2.54,23,0.852,,
1966,car,9852338745,trim_8738,-2026.17,-154,-57.77,1360.79,4.78,1.84,1.64,1825,119.1,2.75,64,0.733,,
1967,truck,trim_5226,trim_393,2449.1,526.95,-2154.31,63.91,11.04,2.59,2.64,10068,75.2,0.81,42,0.886,,
1968,car,trim_9401,trim_1356,1853.2526776641503,-921.7881748811706,-2412.27,-223.77,4.24,1.79,1.64,1083,116.7,2.97,23,0.898,,
1969,car,9852893344,trim_9174,-1624.09,-571.35,1944.61,779,4.9,1.9,1.41,1114,108.2,3.02,55,0.879,,
1970,car,trim_4057,trim_4835,1255.38,-430.46,-506.28,-895.89,4.67,1.73,1.49,1757,119.3,3.05,29,0.693,,
1971,car,2960368366,11240373440,-2169.59,-57.46,248.2,1354.18,4.17,1.92,1.44,1891,98.9,2.6,41,0.712,,
1972,car,9168986440,trim_4351,-482.5,731.39,1401.03,286.28,4.71,1.73,1.6,1857,99.6,2.24,23,0.852,,
1973,car,trim_9677,trim_237,-267.1,674.41,1049.16,414.78,4.49,1.79,1.55,1090,91.4,3.2,68,0.77,,
1974,motorcycle,9857625475,trim_2200,-1266.19,-997.83,-240.35,1241.94,2.13,0.73,1.21,221,101.2,3.36,55,0.731,,
1975,car,trim_9109,trim_8738,1821.93,90.85,-57.77,1360.79,4.13,1.8,1.64,1538,92.9,2.61,50,0.735,,
1976,car,trim_4360,trim_5798,1227.09,745.8,-1995.15,-817.17,4.34,1.63,1.54,1660,93.1,2.62,29,0.879,,
1977,motorcycle,trim_8319,2960361553,150.78,-1368.9,-1051.25,-613.82,2.29,0.75,1.27,113,106.9,4.33,32,0.69,,
1978,ambulance,2960326747,trim_81,-1581.18,-14.65,212.68,-807.49,5.63,2.22,2.58,2783,124.7,3.53,35,0.622,a_7018033056,"Chandra Laxmi Hospital, Maliwara Chowk"
1979,car,2960336711,trim_5229,-945.97,472.77,2490.25,532.46,4.55,1.92,1.47,1585,101.4,2.82,64,0.889,,
1980,car,trim_8459,trim_1378,1924.41,644.32,-2028.66,-604.36,4.21,1.69,1.52,1839,92.6,2.2,60,0.792,,
1981,car,trim_8256,trim_7267,-262.89,-908.08,-2255.55,-770.07,4.88,1.82,1.63,1570,104.8,2.96,74,0.752,,
1982,car,trim_3364,trim_6275,26.26,585.13,-343.21,-846.93,4.16,1.62,1.54,1417,115.4,2.76,79,0.974,,
1983,car,trim_7878,5170630776,553.39,-759.16,2250.78,-12.12,4.21,1.76,1.39,1549,92.7,2.53,21,0.733,,
1984,car,9859931205,trim_3953,-1851.24,50.54,1830.42,384.13,5.02,1.82,1.56,1133,109.0,2.72,18,0.942,,
1985,car,trim_9103,trim_6722,1796.66,354.78,-541.62,1187.75,4.61,1.66,1.63,1164,90.4,2.98,54,0.872,,
1986,car,trim_8766,trim_689,-35.43,-26.78,-1171.49,570.57,5.05,1.74,1.64,1869,91.2,2.78,48,0.868,,
1987,car,trim_803,9857249944,-1153.13,246.01,-2360.51,173.28,5.07,1.8,1.45,1353,110.6,2.4,28,0.875,,
1988,car,trim_4540,trim_342,-662.27,932.82,-1364.05,667.64,4.93,1.75,1.39,1463,104.8,2.71,72,0.902,,
1989,car,trim_1554,trim_6118,-1072.32,-573.17,-1423.02,159.94,4.47,1.94,1.64,1561,97.1,2.41,22,0.754,,
1990,car,9860055099,5170783083,422.99,-1305.39,1865.52,342.74,5.02,1.9,1.36,1079,92.9,2.93,40,0.789,,
1991,car,trim_9360,9857987898,922.39,407.95,-87.68,352.89,4.53,1.81,1.55,1402,116.5,2.95,17,0.824,,
1992,car,trim_2281,11491683795,1852.4231525958576,1013.6751283316752,148.27,442.37,4.36,1.87,1.57,1771,105.6,3.0,57,0.832,,
1993,motorcycle,2960361579,9168951453,-1398.68,-503.62,-310.42,-578.23,2.28,0.79,1.16,198,102.6,3.39,22,0.889,,
1994,car,trim_3554,12099965336,579.27,-337.98,-493.72,1214.9,4.48,1.8,1.53,1794,118.7,2.61,43,0.81,,
1995,car,5170801504,2960336683,2073.98,472.44,-1647.16,-349.3,4.36,1.68,1.55,1354,90.2,2.76,67,0.874,,
1996,car,9857249963,trim_8319,-1886.71,-577.51,150.78,-1368.9,4.85,1.89,1.45,1620,94.5,3.09,63,0.844,,
1997,car,trim_7260,trim_1442,-2259.57,-861.94,-1579.48,-702.63,4.73,1.91,1.4,1816,111.5,3.1,30,0.782,,
1998,car,9859647551,4225172220,-277.16,-1079.62,491.78,-482.88,4.41,1.61,1.62,1463,102.8,2.93,70,0.821,,
1999,car,trim_8065,trim_9253,-1720.64,-1353.35,-1027.71,230.05,4.54,1.61,1.63,1251,114.1,2.42,50,0.834,,
2000,car,2960361504,trim_6730,-974.76,-1174.71,-525.15,1042.13,4.91,1.77,1.39,1208,109.1,2.28,77,0.851,,
2001,car,trim_6062,trim_9536,-1258.08,335.25,-724.62,-1365.49,4.87,1.72,1.54,1831,111.0,2.69,74,0.981,,
2002,car,trim_2074,trim_7781,1068.65,768.11,-615.81,-1099.7,4.07,1.82,1.64,1347,116.6,3.13,70,0.811,,
2003,car,9857750376,trim_6530,-187.44,-1019.9,695.11,-880.61,4.92,1.83,1.59,1557,102.7,2.53,50,0.803,,
2004,car,trim_858,trim_2029,-1157.75,-22.23,1558.79,32.74,4.35,1.87,1.58,1392,116.6,2.81,72,0.852,,
2005,car,4225077423,trim_3381,-2485.3,1004.15,114.96,-508.01,5.03,1.6,1.59,1509,96.2,2.94,39,0.665,,
2006,car,9855014984,9860055101,1563.32,-436.12,-1115.35,-1432.23,4.86,1.89,1.38,1663,107.3,2.85,35,0.693,,
2007,car,12918589247,trim_1792,-756.23,606.75,132.48,-1231.43,4.14,1.7,1.51,1671,99.2,2.86,37,0.77,,
2008,car,6928966903,trim_1597,-1674.66,-1337.06,-1429.69,-451.27,4.05,1.82,1.58,1392,110.8,3.15,80,1.043,,
2009,car,trim_7696,trim_4157,-323.46,-60.45,799.41,356.88,4.87,1.67,1.44,1005,115.2,2.53,44,0.76,,
2010,motorcycle,trim_279,trim_554,13.09,-325.4,-1469.29,-126.53,2.2,0.78,1.19,222,83.1,3.52,49,0.718,,
2011,car,trim_4430,trim_2135,1152.59,-27.46,1406.7129611295172,937.6387840118061,4.38,1.81,1.62,1037,116.7,2.68,50,0.883,,
2012,car,5170655694,11287747044,2131.02,-42.35,-1659.72,-1469.72,4.7,1.65,1.39,1566,112.5,2.6,54,0.806,,
2013,car,trim_4305,9168959374,1567.25,649.36,1423.37,-278.39,4.66,1.65,1.51,1883,102.3,2.94,35,0.851,,
2014,car,trim_7674,4225324820,-512.75,-205.94,690.31,814.51,4.05,1.94,1.61,1854,119.1,2.92,43,0.789,,
2015,car,11006730402,trim_6943,2029.09,-524.41,2191.21,1302.76,4.74,1.76,1.61,1494,92.7,2.36,39,0.754,,
2016,car,trim_3473,12141486355,-458.9,73.15,-1564.33,1273.16,4.41,1.77,1.5,1260,101.9,2.65,18,0.948,,
2017,car,9854981025,trim_1135,1771.48,-614.53,-1159.41,468.6,4.09,1.87,1.52,1513,93.0,2.7,74,0.861,,
2018,car,trim_864,trim_4062,-1067.17,-215.2,2435.03,979.65,4.17,1.84,1.43,1086,99.2,2.98,59,0.702,,
2019,car,trim_2220,9843992518,2154.46,-1241.13,-2252.35,1160.35,5.01,1.82,1.4,1683,112.8,2.72,59,0.816,,
2020,car,trim_2716,trim_3164,-1820.94,609.23,501.96,349.8,4.48,1.75,1.46,1287,116.9,2.68,62,0.732,,
2021,car,9168854788,trim_740,1536.91,1423.71,-1374.79,976.9,4.29,1.88,1.41,1752,96.7,2.97,76,0.924,,
2022,car,2970305235,12127402423,1851.35,-910.74,-934.13,1318.2,4.95,1.88,1.4,1127,90.1,2.78,22,0.772,,
2023,motorcycle,4227743631,trim_283,-840.47,-1597.6,117.96,-441.33,1.95,0.68,1.12,199,94.0,4.49,22,0.677,,
2024,car,trim_4623,9168861145,-638.28,681.94,-1155.95,151.91,4.28,1.76,1.42,1259,118.8,2.44,25,0.855,,
2025,car,trim_7885,trim_7648,-2500.8,-606.49,163.63,49.91,4.76,1.77,1.4,1848,104.0,2.7,67,0.734,,
2026,car,trim_3467,trim_7913,-339.79,-101.45,-1421.32,419.52,4.3,1.94,1.54,1278,101.8,2.53,63,0.767,,
2027,car,trim_4757,trim_8147,-1559.79,1035.77,-2469.46,-981.71,4.35,1.68,1.39,1330,101.2,2.75,60,0.771,,
2028,car,12141479866,11491678306,-2260.33,879.01,112.14,961.77,4.92,1.73,1.5,1588,102.1,2.36,49,0.807,,
2029,car,4225172249,5170639283,729.72,-365.53,2066.93,-88.15,4.21,1.66,1.41,1662,113.6,2.84,72,0.72,,
2030,car,trim_6957,12141430114,2224.33,1136.5,-1846.66,922.54,4.11,1.74,1.53,1878,109.0,2.3,79,0.957,,
2031,car,4224980831,3887993269,-2426.24,425.59,1555.28,1009.76,4.89,1.89,1.42,1262,106.7,2.91,59,0.899,,
2032,car,trim_7157,trim_6706,-2224.93,99.8,1128.03,1213.32,4.24,1.93,1.46,1690,91.1,2.66,40,0.802,,
2033,car,trim_3798,2970305121,-619.09,-906.7,2083.88,-1128.1,4.02,1.76,1.53,1028,115.4,2.96,72,0.907,,
2034,car,trim_7770,trim_5720,-909.51,-525.73,-1433.13,766.17,4.63,1.83,1.52,1440,103.0,2.8,56,0.728,,
